	0
0	http://www.worldportsource.com/ports/ALB_Port_of_Durres_2181.php
1	http://www.worldportsource.com/ports/ALB_Port_of_Sarande_2182.php
2	http://www.worldportsource.com/ports/ALB_Port_of_Shengjin_2183.php
3	http://www.worldportsource.com/ports/ALB_Port_of_Vlore_2184.php
4	http://www.worldportsource.com/ports/DZA_Port_of_Arzew_3660.php
5	http://www.worldportsource.com/ports/DZA_Port_of_Arzew_El_Djedid_3914.php
6	http://www.worldportsource.com/ports/DZA_Port_of_Beni_Saf_3654.php
7	http://www.worldportsource.com/ports/DZA_Port_of_Cherchell_3915.php
8	http://www.worldportsource.com/ports/DZA_Port_of_Collo_3916.php
9	http://www.worldportsource.com/ports/DZA_Port_of_Dellys_3659.php
10	http://www.worldportsource.com/ports/DZA_Port_of_Djen_Djen_3655.php
11	http://www.worldportsource.com/ports/DZA_Port_of_Ghazaouet_3661.php
12	http://www.worldportsource.com/ports/DZA_Port_of_Jijel_3656.php
13	http://www.worldportsource.com/ports/DZA_Port_of_Mers_El_Kebir_5499.php
14	http://www.worldportsource.com/ports/DZA_Port_of_Mostaganem_3657.php
15	http://www.worldportsource.com/ports/DZA_Port_of_Oran_3662.php
16	http://www.worldportsource.com/ports/DZA_Port_Methanier_3917.php
17	http://www.worldportsource.com/ports/DZA_Port_of_Tenes_3658.php
18	http://www.worldportsource.com/ports/AGO_Port_of_Ambriz_3663.php
19	http://www.worldportsource.com/ports/AGO_Port_of_Cabinda_3664.php
20	http://www.worldportsource.com/ports/AGO_Quinfuquena_Terminal_4370.php
21	http://www.worldportsource.com/ports/AGO_Takula_Terminal_4374.php
22	http://www.worldportsource.com/ports/AGO_Futila_Terminal_4367.php
23	http://www.worldportsource.com/ports/AGO_Port_of_Lobito_501.php
24	http://www.worldportsource.com/ports/AGO_Malongo_Terminal_4368.php
25	http://www.worldportsource.com/ports/AGO_Port_of_Malongo_1319.php
26	http://www.worldportsource.com/ports/AGO_Lombo_Marine_Terminal_4369.php
27	http://www.worldportsource.com/ports/AGO_Port_of_Namibe_1318.php
28	http://www.worldportsource.com/ports/AGO_Kiabo_Marine_Terminal_4371.php
29	http://www.worldportsource.com/ports/AGO_Kiame_Marine_Terminal_4372.php
30	http://www.worldportsource.com/ports/AGO_Port_of_Porto_Amboim_3665.php
31	http://www.worldportsource.com/ports/AGO_Palanca_Terminal__4373.php
32	http://www.worldportsource.com/ports/AGO_Port_of_Soyo_1317.php
33	http://www.worldportsource.com/ports/AIA_Port_of_The_Valley_3503.php
34	http://www.worldportsource.com/ports/ATG_Saint_John_s_Harbour_1594.php
35	http://www.worldportsource.com/ports/ARG_Port_of_Bahia_Blanca_81.php
36	http://www.worldportsource.com/ports/ARG_Port_of_San_Nicolas_209.php
37	http://www.worldportsource.com/ports/ARG_Port_of_Arroyo_Seco_1306.php
38	http://www.worldportsource.com/ports/ARG_Port_of_Atucha_4315.php
39	http://www.worldportsource.com/ports/ARG_Port_of_Bahia_Blanca_81.php
40	http://www.worldportsource.com/ports/ARG_Port_of_Barranqueras_1314.php
41	http://www.worldportsource.com/ports/ARG_Port_of_Caleta_Cordova_1299.php
42	http://www.worldportsource.com/ports/ARG_Port_of_Caleta_Olivares_1292.php
